Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-06-11 10:07:28,false,"Sequim Running","4.65","642","00:46:16","142","166","3.4","171","185","9:57","8:57","203","200","0.95","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","73.4","0:00","No","06:41.82.5","5","0.0","00:46:16","00:46:16","74","235"
Running,2022-06-08 17:27:07,false,"Sequim Running","4.07","590","00:39:37","149","158","3.4","169","183","9:43","8:54","95","82","0.98","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","77.0","0:00","No","00:47.89.1","5","0.0","00:39:34","00:40:10","138","219"
Running,2022-06-01 14:43:10,false,"Clallam County Running","5.61","783","00:50:31","154","168","4.1","173","181","9:01","7:56","92","89","1.03","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","69.8","0:00","No","00:02.52.9","7","0.0","00:50:15","00:52:20","133","202"
Running,2022-05-30 11:52:27,false,"Clallam County Running","6.04","861","00:56:05","152","164","4.2","172","180","9:18","8:27","121","112","1.01","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","75.2","0:00","No","00:19.56.6","7","0.0","00:56:02","00:56:48","56","140"
Running,2022-05-29 11:39:10,false,"Sequim Running","4.65","661","00:42:48","153","171","3.9","173","198","9:12","8:21","223","230","1.01","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","66.2","0:00","No","05:59.88","5","0.0","00:42:43","00:43:12","56","238"
Running,2022-05-28 05:28:44,false,"Sequim Running","5.01","703","00:45:01","155","168","4.2","174","179","8:59","8:10","121","115","1.03","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","62.6","0:00","No","00:07.00.8","6","0.0","00:44:59","00:45:01","116","207"
Running,2022-05-26 05:27:53,false,"Sequim Running","4.00","559","00:37:25","150","162","3.6","173","183","9:21","8:38","92","89","1.00","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","62.6","0:00","No","00:01.15.6","5","0.0","00:37:23","00:37:25","116","199"
Running,2022-05-25 12:26:04,false,"Sequim Running","4.04","574","00:38:01","151","162","3.8","171","178","9:24","8:17","89","82","1.00","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","73.4","0:00","No","00:25.39.6","5","0.0","00:37:57","00:38:29","129","213"
Running,2022-05-22 06:26:53,false,"Sequim Running","3.08","432","00:29:01","149","169","3.7","173","181","9:24","8:29","197","187","0.99","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","64.4","0:00","No","00:46.17.3","4","0.0","00:28:59","00:29:01","98","238"
Running,2022-05-21 06:13:48,false,"Sequim Running","4.00","564","00:35:37","159","175","4.5","174","181","8:54","7:40","98","118","1.04","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","59.0","0:00","No","04:04.46.2","5","0.0","00:35:35","00:35:37","93","195"
Running,2022-05-20 05:11:03,false,"Sequim Running","3.01","424","00:27:01","156","173","4.0","172","181","8:59","7:56","85","69","1.04","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","57.2","0:00","No","04:15.87.8","4","0.0","00:26:55","00:28:39","116","202"
Walking,2022-05-19 17:45:54,false,"Sequim Walking","2.59","298","00:46:20","86","110","0.6","113","242","17:53","10:18","102","95","0.80","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","69.8","0:00","No","10:54.58.1","3","0.0","00:45:59","00:46:41","56","104"
Running,2022-05-16 05:24:54,false,"Sequim Running","3.00","444","00:27:57","156","167","3.9","173","189","9:19","8:33","69","72","1.00","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","59.0","0:00","No","00:01.55.7","4","0.0","00:27:56","00:27:57","108","182"
Walking,2022-05-15 14:40:16,false,"Sequim Walking","2.17","258","00:43:17","79","97","0.4","108","216","19:55","18:12","59","26","0.75","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","69.8","0:00","No","03:31.55.5","3","0.0","00:43:05","00:43:28","73","117"
Walking,2022-05-14 10:58:26,false,"Sequim Walking","4.20","302","01:14:37","73","103","0.5","112","235","17:45","14:14","187","194","0.81","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","69.8","0:00","No","03:51.72.5","5","0.0","01:14:08","01:15:07","78","198"
Running,2022-05-13 16:47:10,false,"Port Townsend Running","3.28","474","00:30:00","158","179","4.1","170","185","9:09","6:15","210","210","1.04","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","68.0","0:00","No","00:19.58.7","14","0.0","00:29:57","00:30:03","18","114"
Walking,2022-05-08 10:59:46,false,"Sequim Walking","4.03","481","01:11:49","99","125","0.8","110","133","17:51","15:48","210","203","0.82","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","62.6","0:00","No","00:26.94","5","0.0","01:11:15","01:12:51","112","272"
Running,2022-05-01 11:33:24,false,"Clallam County Running","4.04","602","00:36:26","156","171","4.1","172","179","9:01","7:59","69","85","1.04","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","66.2","0:00","No","00:23.71.4","5","0.0","00:36:23","00:36:33","125","213"
Walking,2022-04-24 17:07:49,false,"Sequim Walking","1.60","192","00:30:39","78","107","0.3","109","116","19:06","16:26","98","85","0.78","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","69.8","0:00","No","11:34.14","2","0.0","00:30:31","00:30:46","179","228"
Hiking,2022-04-23 13:57:33,false,"Anacortes Hiking","2.61","306","00:58:11","92","138","0.5","94","147","22:20","15:53","515","456","0.77","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","71.6","0:00","No","02:02.75","11","0.0","00:53:37","01:40:23","-186","73"
Running,2022-04-17 10:52:31,false,"Clallam County Running","9.42","1,370","01:26:30","157","169","4.5","174","180","9:11","8:09","167","135","0.99","6.3","6.3","292","49.7% L / 50.3% R","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","60.8","0:00","No","00:57.02","16","0.0","01:26:09","01:27:38","118","254"
Walking,2022-04-16 11:24:08,false,"Sequim Walking","4.07","470","01:08:29","88","118","0.5","116","148","16:51","14:27","190","190","0.83","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","59.0","0:00","No","00:58.59.4","5","0.0","01:07:55","01:11:06","89","187"
Running,2022-04-13 13:00:07,false,"Sequim Running","5.05","688","00:45:46","146","158","3.2","175","188","9:04","8:10","125","105","1.02","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","66.2","0:00","No","00:27.93.1","6","0.0","00:45:41","00:50:08","104","214"
Indoor Cycling,2022-04-09 15:33:03,false,"Indoor Cycling","16.74","749","01:01:40","125","149","2.7","0","0","16.3","23.2","--","--","0.00","0.0","0.0","0","--","84","101","194","55% L / 45% R","66.9","195","176","557","0.0","0.0","5172","0","0","0","--","0:00","68.0","0:00","No","01:01:40.20.8","1","0.0","01:01:33","01:01:40","--","--"
Indoor Cycling,2022-04-08 18:19:58,false,"Indoor Cycling","25.68","692","01:05:46","110","123","2.3","0","0","23.4","24.8","--","--","0.00","0.0","0.0","0","--","81","92","153","56% L / 44% R","44.2","159","149","280","0.0","0.0","5334","0","0","0","--","0:00","66.2","0:00","No","01:05:45.90.4","1","0.0","01:05:44","01:05:46","--","--"
Running,2022-04-07 16:47:24,false,"Port Townsend - 4x5min","6.18","882","00:55:17","155","176","3.9","172","188","8:56","6:48","381","354","1.03","0.0","0.0","0","--","0","0","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","69.8","0:00","No","00:07.29.1","12","0.0","00:55:16","00:55:17","-13","123"
